year,site_name,times_exceeded,percent_exceeded,latitude,longitude,river_name
2017,Muddy 4,9,0.45,41.14107,-73.32172,Muddy Brook
2017,Muddy 5,6,0.3,41.14686,-73.31809,Muddy Brook
2017,Muddy 6,8,0.4,41.16444,-73.32521,Muddy Brook
2017,Poplar 1,1,0.045454545454545456,41.16173,-73.36938,Saugatuck River
2017,Poplar 2,4,0.2,41.16205,-73.37512,Saugatuck River
2017,Poplar 4,7,0.3181818181818182,41.15946,-73.38549,Saugatuck River
2017,Saugatuck 1,7,0.35,41.16748,-73.36647,Saugatuck River
2017,Saugatuck 2,3,0.15,41.17553,-73.36193,Saugatuck River
2017,West Saug 1,3,0.15,41.17809,-73.37404,Saugatuck River
2018,Deadman 1,9,0.45,41.13975,-73.358428,Deadman Brook
2018,Deadman 2,10,0.5,41.141994,-73.358341,Deadman Brook
2018,Deadman 3,8,0.4,41.146818,-73.354342,Deadman Brook
2018,Deadman 3.5,6,0.3,41.151413,-73.347821,Deadman Brook
2018,Deadman 4,7,0.35,41.154866,-73.3413,Deadman Brook
2018,Deadman 5,9,0.45,41.158688,-73.334975,Deadman Brook
2018,Deadman 7,9,0.45,41.165024,-73.334193,Deadman Brook
2018,Deadman 8,2,0.1,41.172671,-73.33152,Deadman Brook
2018,Deadman 9,0,0,41.178255,-73.33006,Deadman Brook
2018,Hunt Club 1,1,0.5,41.14587,-73.30357,Sasco Brook
